"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\Animations\Animations.cs", "C#", 11, 0, 4, 15
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\Cameras\Cameras.cs", "C#", 16, 2, 9, 27
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\Cameras\DeviceSettings\DeviceSettingsInterface.cs", "C#", 14, 0, 4, 18
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\Cameras\DeviceSettings\LeiaDisplaySettings.cs", "C#", 20, 1, 5, 26
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\Cameras\DeviceSettings\StereoCameraSettings.cs", "C#", 33, 1, 5, 39
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\Cameras\GridCamera\GridCamera.cs", "C#", 90, 8, 23, 121
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\Cameras\LKG\LKG_Interface.cs", "C#", 16, 2, 7, 25
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\Cameras\LKG\LookingGlassCamera.cs", "C#", 22, 2, 8, 32
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\Cameras\LeiaDisplayInit.cs", "C#", 19, 2, 4, 25
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\Cameras\Stereo\StereoCamera.cs", "C#", 76, 8, 16, 100
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\DBs\LevelDB\LEVEL_DB.cs", "C#", 13, 0, 3, 16
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\DBs\LevelDB\LevelPanel.cs", "C#", 38, 1, 9, 48
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\DBs\LevelDB\SelectLevelDB.cs", "C#", 64, 1, 12, 77
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\DBs\ShaderDB\SHADER_DB.cs", "C#", 40, 3, 5, 48
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\DBs\ShaderDB\SelectShaderDB.cs", "C#", 40, 6, 8, 54
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\DBs\ShaderDB\ShaderDBItem.cs", "C#", 48, 3, 13, 64
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\DeviceSettings\DeviceSettingsPanelController.cs", "C#", 32, 3, 10, 45
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\DeviceSettings\DeviceSettingsUnit.cs", "C#", 38, 0, 4, 42
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\DeviceSettings\DisplaySettingsSliderPanel.cs", "C#", 30, 0, 3, 33
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\GameController\ActiveCameraController.cs", "C#", 133, 9, 26, 168
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\GameController\ActiveCameraControllerEditor.cs", "C#", 12, 2, 5, 19
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\GameController\GameControler.cs", "C#", 16, 0, 9, 25
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\GameController\PlatformSwitchController.cs", "C#", 59, 3, 17, 79
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\GameController\PlatformSwitchControllerEditor.cs", "C#", 20, 0, 7, 27
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\GameController\TargetPlatform.cs", "C#", 5, 0, 2, 7
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\Player.cs", "C#", 87, 16, 17, 120
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\PostProcess\PostProcessInterface.cs", "C#", 31, 3, 5, 39
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\PostProcess\PostProcessRender.cs", "C#", 56, 4, 16, 76
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\Scenes\LevelCorrectOrder.cs", "C#", 12, 1, 4, 17
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\Scenes\LevelFreeLook.cs", "C#", 6, 0, 3, 9
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\Scenes\LevelInterface.cs", "C#", 14, 3, 4, 21
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\Scenes\LevelTwoCompare.cs", "C#", 8, 0, 3, 11
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\Simulation.cs", "C#", 23, 7, 8, 38
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\UI\AdroidUIController.cs", "C#", 24, 1, 5, 30
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\UI\AllowMovement.cs", "C#", 13, 1, 3, 17
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\UI\DeviceSettingsMenu\HideDeviceSettingMenuButton.cs", "C#", 57, 2, 6, 65
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\UI\DisplaySwitch.cs", "C#", 22, 1, 3, 26
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\UI\MyButton.cs", "C#", 16, 0, 3, 19
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\UI\PlatformSwitchButton\HidePlatformSwitchMenuButton.cs", "C#", 57, 1, 9, 67
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\UI\ShaderToggleMenu\HideShaderMenuButton.cs", "C#", 55, 2, 7, 64
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\UI\ShaderToggleMenu\ShaderMenuScrollController.cs", "C#", 83, 0, 11, 94
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\UI\ShaderToggleMenu\ToggleShaderPanel.cs", "C#", 42, 0, 10, 52
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\UI\ToggleAllUI.cs", "C#", 23, 1, 5, 29
"c:\Users\Marek\Documents\DP\DP_Framework_0.2_LumepadWorking\Assets\_Custom\Scripts\UI\VerticalPadMovement.cs", "C#", 13, 2, 4, 19
"Total", "-", 1547, 102, 344, 1993
